"LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","WoodDeckSF","MoSold","SalePrice"
50271,9,5,1981,1987,1810,0,32,1842,0,0,2,0,0,1,0,1,5,1,3,894,857,11,385000
7134,5,5,1955,1955,384,0,0,1360,0,0,0,0,1,0,3,1,6,1,2,572,0,2,130000
10175,6,5,1964,1964,490,0,935,1425,0,0,0,0,2,0,3,1,7,1,2,576,0,7,180500
2645,8,5,1999,2000,649,0,321,983,756,0,1,0,2,1,3,1,7,0,2,480,115,8,172500
11645,7,5,2004,2004,0,0,860,860,860,0,0,0,2,1,3,1,7,0,2,565,0,8,196500
13682,10,5,2006,2006,0,0,1410,1426,1519,0,0,0,3,1,3,1,10,1,3,641,192,10,438780
7200,5,7,1972,1972,632,0,148,780,0,0,0,0,1,0,2,1,4,0,1,352,196,1,124900
13072,6,5,2004,2004,941,0,217,1158,0,0,1,0,1,1,3,1,5,0,2,576,0,5,158000
7200,5,7,1920,1996,0,0,530,581,530,0,0,0,1,0,3,1,6,0,1,288,0,3,101000
6442,8,5,2006,2006,24,0,1346,1370,0,0,0,0,2,0,2,1,6,1,2,484,120,10,202500
10300,7,6,1921,1950,0,0,576,902,808,0,0,0,2,0,3,1,9,0,2,480,12,4,140000
9375,7,5,1997,1998,739,0,318,1057,977,0,1,0,2,1,3,1,8,0,2,645,576,2,219500
9591,8,5,2004,2005,0,0,1143,1143,1330,0,0,0,2,1,4,1,9,1,3,852,192,10,317000
19900,7,5,1970,1989,912,0,1035,2207,0,0,1,0,2,0,3,1,7,1,2,576,301,7,180000
10665,7,5,2003,2003,1013,0,440,1479,0,0,1,0,2,0,3,1,7,0,2,558,144,6,226000
4608,4,6,1945,1950,0,0,747,747,0,0,0,0,1,0,2,1,4,0,1,220,0,6,80000
15593,7,4,1953,1953,603,0,701,1304,983,0,0,0,2,0,3,1,7,1,2,667,0,7,225000
13651,7,6,1973,1973,1880,0,343,2223,0,0,1,0,2,0,3,1,8,2,2,516,300,2,244000
7599,4,6,1982,2006,565,0,280,845,0,0,1,0,1,0,2,1,4,0,2,360,0,6,129500
10141,7,5,1998,1998,0,0,832,885,833,0,0,0,2,1,3,1,7,1,2,427,0,12,185000
10200,5,7,1954,2003,320,362,404,1086,0,0,1,0,1,0,3,1,6,0,2,490,0,5,144900
5790,3,6,1915,1950,0,0,840,840,765,0,0,0,2,0,3,2,8,0,1,379,0,5,107400
1596,4,5,1973,1973,462,0,0,526,462,0,1,0,1,0,2,1,5,0,1,297,120,11,91000
8475,4,7,1956,1956,228,0,724,952,0,0,0,0,1,0,2,1,4,0,1,283,0,4,135750
8635,5,5,1948,2001,336,41,295,1072,213,0,1,0,1,0,2,1,6,0,1,240,0,1,127000
10778,4,5,1968,1968,0,0,1768,1768,0,0,0,0,2,0,4,2,8,0,0,0,0,4,136500
10440,5,6,1910,1981,0,0,440,682,548,0,0,0,1,1,2,1,5,0,2,440,74,5,110000
13000,6,6,1968,1968,448,0,448,1182,960,0,0,0,2,1,4,1,8,1,1,509,0,6,193500
4500,6,5,1998,1998,1201,0,36,1337,0,0,1,0,2,0,2,1,5,0,2,405,0,3,153500
10206,8,5,2007,2007,33,0,1530,1563,0,0,0,0,2,0,3,1,6,1,3,758,144,10,245000
8892,5,5,1960,1960,0,0,1065,1065,0,0,0,0,1,1,3,1,6,0,2,461,74,7,126500
8530,7,5,1995,1996,0,0,384,804,670,0,0,0,2,1,3,1,7,1,2,400,120,5,168500
16059,8,5,1991,1992,0,0,1288,1301,1116,0,0,0,2,1,4,1,9,1,2,462,127,4,260000
11911,6,5,2005,2005,0,0,684,684,876,0,0,0,2,1,3,1,6,1,2,400,100,3,174000
3951,6,5,2009,2009,0,0,612,612,612,0,0,0,2,1,2,1,4,0,2,528,0,6,164500
8470,3,2,1915,1982,0,0,1013,1013,0,513,0,0,1,0,2,1,6,0,0,0,0,10,85000
8070,4,5,1994,1995,588,0,402,990,0,0,1,0,1,0,3,1,5,0,0,0,0,8,123600
7200,4,5,1950,1950,0,0,0,1040,0,0,0,0,1,0,2,1,4,0,2,420,0,7,109900
8500,5,3,1961,1961,600,0,635,1235,0,0,0,0,1,0,2,1,6,0,2,480,0,12,98600
13360,5,7,1921,2006,713,0,163,964,0,0,1,0,1,0,2,1,5,0,2,432,0,8,163500
7200,6,6,1910,1998,1046,0,168,1260,1031,0,0,1,2,0,4,2,9,1,2,506,0,11,133900
9337,6,5,1997,1997,648,0,176,905,881,0,1,0,2,1,3,1,7,0,2,684,0,5,204750
9765,6,8,1993,1993,310,0,370,680,790,0,0,0,2,1,3,1,6,1,2,420,232,4,185000
10264,7,5,1999,1999,1162,0,426,1588,0,0,0,0,2,0,3,1,6,0,2,472,158,8,214000
10921,4,5,1965,1965,520,0,440,960,0,0,1,0,1,0,3,1,6,0,1,432,120,5,94750
10625,5,5,1920,1950,108,0,350,835,0,0,0,0,1,0,2,1,5,0,1,366,0,5,83000
9320,4,5,1959,1959,569,0,381,1225,0,0,1,0,1,1,3,1,6,0,0,0,352,1,128950
10603,6,7,1977,2001,1200,0,410,1610,0,0,1,0,2,0,3,1,6,2,2,480,168,2,205000
9206,6,5,1985,1985,0,0,741,977,755,0,0,0,2,1,3,1,7,1,2,476,192,6,178000
7018,5,5,1979,1979,0,0,0,1535,0,0,0,0,2,0,4,2,8,0,2,410,0,6,118964
10402,7,5,2009,2009,0,0,1226,1226,0,0,0,0,2,0,3,1,6,0,3,740,0,5,198900
7758,7,4,1931,1950,224,0,816,1226,592,0,0,0,1,1,4,1,7,2,1,240,0,6,169500
9375,8,5,2003,2004,0,0,1053,1053,939,0,0,0,2,1,3,1,9,1,2,648,140,8,250000
10800,4,7,1885,1995,0,0,641,1047,0,0,0,0,1,0,2,1,6,0,1,273,0,8,1e+05
6000,5,5,1948,1950,104,169,516,789,0,0,0,0,1,0,2,1,5,0,1,250,0,4,115000
8500,5,7,1919,2005,0,0,793,997,520,0,0,0,2,0,3,1,7,0,0,0,0,8,115000
11751,6,6,1977,1977,705,0,1139,1844,0,0,0,0,2,0,3,1,7,1,2,546,0,1,190000
9525,6,4,1954,1972,444,0,550,1216,639,0,0,0,2,0,4,1,7,0,1,325,182,10,136900
7750,7,5,2000,2000,250,0,134,774,656,0,0,0,2,1,3,1,7,1,2,400,180,4,180000
9965,7,5,2007,2007,984,0,280,1282,1414,0,1,0,2,1,4,1,10,1,3,792,120,10,383970
21000,6,5,1953,1953,35,869,905,2259,0,0,1,0,2,0,3,1,7,2,2,450,166,10,217000
7259,6,8,1945,2002,774,150,104,1436,884,0,1,0,2,1,3,1,9,1,1,180,224,7,259500
3230,6,5,1999,1999,419,0,310,729,729,0,0,0,2,1,2,1,5,1,2,440,0,6,176000
11616,5,5,1962,1962,170,670,252,1092,0,0,0,1,1,0,3,1,6,1,1,288,0,9,139000
8536,5,5,2006,2007,0,0,1125,1125,0,0,0,0,1,1,2,1,5,0,2,430,80,4,155000
12376,7,5,1990,1990,1470,0,203,1699,1523,0,1,0,3,0,5,1,11,2,3,594,367,5,320000
8461,6,5,2005,2006,0,0,728,728,728,0,0,0,2,1,3,1,8,1,2,390,0,7,163990
21453,6,5,1969,1969,938,0,0,988,0,0,1,0,1,0,1,1,4,2,2,540,0,10,180000
6060,4,5,1939,1950,0,0,732,772,351,0,0,0,1,0,3,1,4,0,1,264,0,6,1e+05
9464,6,7,1958,1958,570,0,510,1080,0,0,0,0,1,0,3,1,5,0,1,288,0,6,136000
7892,6,5,1993,1993,300,0,899,1199,0,0,0,0,2,0,2,1,5,0,2,530,0,3,153900
17043,6,5,1979,1998,0,0,1362,1586,0,0,0,0,2,0,3,1,7,1,2,435,192,1,181000
6780,6,8,1935,1982,490,0,30,520,0,234,1,0,1,0,2,1,5,0,0,0,53,6,84500
4928,6,5,1976,1976,120,0,958,958,0,0,0,0,2,0,2,1,5,1,2,440,0,2,128000
4388,5,7,1930,1950,116,0,556,840,0,0,0,0,1,0,3,1,5,1,0,0,0,6,87000
7590,6,5,1966,1966,512,0,148,660,688,0,0,0,1,1,3,1,6,1,2,453,188,7,155000
8973,5,7,1958,1991,567,28,413,1053,0,0,0,1,1,1,3,1,6,0,2,750,0,7,150000
14200,7,6,1966,1966,445,0,479,1216,941,0,0,0,2,1,4,1,8,2,2,487,105,5,226000
12224,6,5,2000,2000,695,0,297,1022,1032,0,1,0,2,1,3,1,7,1,2,390,24,7,244000
7388,5,6,1959,2002,405,0,658,1327,0,0,1,0,1,0,3,1,7,0,2,624,0,7,150750
6853,8,5,2001,2002,1005,0,262,1296,0,0,1,0,2,0,2,1,6,0,2,471,192,6,220000
10335,5,6,1968,1993,570,0,891,1721,0,0,0,0,2,1,3,1,7,1,2,440,0,7,180000
10400,7,6,1970,1970,0,0,1304,1682,0,0,0,0,2,0,3,1,7,1,2,530,98,5,174000
10355,5,5,1967,1967,695,0,519,1214,0,0,0,0,2,0,3,1,5,1,1,318,0,7,143000
11070,7,5,1988,1989,0,0,1907,1959,0,0,0,0,3,0,5,2,9,0,3,766,0,7,171000
9066,8,5,1999,2000,668,0,336,1004,848,0,0,0,2,1,3,1,7,2,3,660,224,12,230000
15426,6,5,1997,1997,821,0,107,928,836,0,1,0,2,1,3,1,7,0,2,470,276,8,231500
10500,4,5,1971,1971,432,0,432,864,0,0,0,0,1,0,3,1,5,1,0,0,0,4,115000
11645,7,5,2005,2005,1300,0,434,1734,0,0,1,0,2,0,3,1,7,0,2,660,160,1,260000
8520,5,4,1952,1952,507,0,403,910,475,0,0,0,2,0,4,1,6,0,2,720,0,6,166000
10335,7,5,1999,1999,679,0,811,1501,0,0,1,0,2,0,3,1,6,0,2,577,144,6,204000
9100,5,5,1963,1963,1332,0,396,1728,0,0,1,0,2,0,6,2,10,0,2,504,0,11,125000
2522,6,5,2004,2006,0,0,970,970,739,0,0,0,2,0,3,1,7,0,2,380,0,4,130000
6120,5,7,1931,1993,209,0,506,875,0,0,1,0,1,0,2,1,5,0,1,180,48,11,105000
9505,7,5,2001,2001,0,0,884,884,1151,0,0,0,2,1,3,1,8,1,2,434,144,5,222500
7500,7,5,2004,2005,680,0,400,1080,0,0,1,0,1,0,3,1,6,0,0,0,0,4,141000
6240,5,4,1936,1950,0,0,896,896,448,0,0,0,1,0,3,1,7,0,1,240,200,4,115000
10356,5,6,1975,1975,716,0,253,969,0,0,0,0,1,1,3,1,5,0,2,440,0,1,122000
13891,8,5,2007,2008,1400,0,310,1710,0,0,1,0,2,0,2,1,6,1,3,866,0,1,372402
14803,6,5,1971,1971,416,0,409,1097,896,0,0,0,2,1,4,1,8,1,2,495,0,6,190000
13500,6,7,1960,1975,429,1080,93,1252,0,0,1,0,1,0,1,1,4,1,2,564,409,3,235000
11340,6,5,1923,1950,0,0,1200,1200,0,0,0,0,1,0,4,1,7,0,1,312,0,3,125000
9600,6,5,1924,1950,0,0,572,572,524,0,0,0,1,0,2,1,5,0,0,0,0,4,79000
7200,5,7,1950,1950,0,0,0,1040,0,0,0,0,1,0,2,1,5,0,2,625,0,6,109500
12003,8,5,2009,2010,0,0,774,774,1194,0,0,0,2,1,4,1,8,1,3,680,0,5,269500
12552,7,5,2004,2005,222,0,769,991,956,0,0,0,2,1,3,1,8,1,2,678,0,5,254900
19378,7,5,2005,2006,57,0,1335,1392,1070,0,1,0,2,1,4,1,9,1,2,576,239,3,320000
11120,6,6,1984,1984,660,0,572,1232,0,0,0,0,2,0,3,1,6,0,2,516,0,6,162500
13688,9,5,2003,2004,1016,0,556,1572,1096,0,1,0,2,1,3,1,10,2,3,726,400,3,412500
12182,7,5,2005,2005,1201,0,340,1541,0,0,0,0,2,0,3,1,7,1,2,532,0,5,220000
5500,4,6,1956,1956,0,0,882,882,0,0,0,0,1,0,1,1,4,0,0,0,0,4,103200
5400,6,7,1926,2004,370,0,779,1149,467,0,0,0,2,0,3,1,5,0,1,216,0,10,152000
10106,5,7,1940,1999,351,181,112,808,547,0,1,0,2,0,4,2,6,0,0,0,140,9,127500
10708,5,5,1955,1993,379,768,470,1867,0,0,1,0,1,0,2,1,7,3,1,303,476,11,190000
10562,8,5,2007,2007,1288,0,294,1610,551,0,1,0,1,1,3,1,8,1,3,789,178,11,325624
8244,7,5,2004,2004,0,0,840,840,880,0,0,0,2,1,3,1,7,1,2,440,100,5,183500
16669,8,6,1981,1981,0,0,1686,1707,0,0,0,0,2,1,2,1,6,1,2,511,574,1,228000
12358,5,6,1941,1950,360,0,360,854,0,528,0,0,1,1,2,1,7,0,2,660,237,5,128500
31770,6,5,1960,1960,639,0,441,1656,0,0,1,0,1,0,3,1,7,2,2,528,210,5,215000
5306,7,7,1987,1987,495,215,354,1064,703,0,1,0,2,0,2,1,5,1,2,504,441,6,239000
10197,6,5,1961,1961,288,374,700,1362,0,0,1,0,1,1,3,1,6,1,2,504,0,6,163000
12416,6,5,1986,1986,1398,208,0,1651,0,0,1,0,2,0,3,1,7,1,2,616,192,11,184000
12615,6,7,1950,2001,477,0,725,2158,0,0,1,0,2,0,4,1,7,1,2,576,0,6,243000
10029,6,5,1988,1989,831,0,320,1164,896,0,0,1,2,1,4,1,8,1,2,521,0,9,211000
13650,5,5,1958,1958,57,441,554,1252,668,0,1,0,2,0,4,1,8,1,2,451,0,7,172500
17423,9,5,2008,2009,1904,0,312,2234,0,0,1,0,2,0,1,1,9,1,3,1166,0,7,501837
8520,5,6,1923,2006,0,0,968,968,0,0,0,0,1,0,2,1,5,0,2,480,0,7,1e+05
2117,6,5,2000,2000,436,0,320,769,756,0,0,0,2,1,3,1,5,1,2,440,0,6,177000
7588,7,6,1920,1950,352,0,441,901,901,0,0,0,1,1,4,1,9,1,1,216,0,7,200100
9060,5,6,1957,2006,0,0,0,1340,0,0,0,0,1,0,3,1,7,1,1,252,116,6,120000
11426,7,5,2003,2003,0,0,1362,1362,720,0,0,0,2,1,3,1,6,0,2,484,280,6,2e+05
7438,5,8,1908,1991,0,0,504,936,316,0,0,0,1,0,3,1,5,0,2,576,104,6,127000
22950,10,9,1892,1993,0,0,1107,1518,1518,572,0,0,2,1,4,1,12,2,3,840,0,6,475000
9947,7,5,1990,1991,611,0,577,1217,0,0,1,0,2,0,3,1,6,0,2,497,168,6,173000
10410,5,7,1916,1987,0,0,660,808,704,144,0,0,2,1,3,1,8,0,1,180,0,8,135000
7018,5,5,1979,1979,1086,0,0,1224,0,0,2,0,0,2,2,2,6,2,2,528,120,6,153337
4923,8,5,2001,2002,1153,0,440,1593,0,0,1,0,1,1,0,1,5,1,2,682,0,8,286000
10570,8,8,1932,1994,297,0,556,1549,1178,0,0,0,2,1,3,1,10,2,2,440,0,12,315000
7472,7,9,1972,2004,626,0,99,725,754,0,1,0,1,1,4,1,7,0,2,484,0,6,184000
9017,7,5,1999,1999,560,0,871,1431,0,0,1,0,2,0,3,1,6,0,2,666,0,9,192000
2522,7,5,2004,2004,0,0,970,970,739,0,0,0,2,0,3,1,7,0,2,380,0,5,130000
7180,5,7,1972,1972,390,0,474,864,0,0,0,0,1,0,3,1,5,0,1,352,0,5,127000
2280,6,6,1976,1976,566,0,289,855,601,0,0,0,2,1,3,1,7,1,2,440,87,7,148500
9416,7,5,2007,2007,1126,0,600,1726,0,0,1,0,2,0,3,1,8,1,3,786,171,9,311872
25419,8,4,1918,1990,1036,184,140,1360,1360,392,1,1,2,0,4,1,8,1,2,795,0,3,235000
5520,6,6,1912,1950,0,0,755,929,929,371,0,0,1,0,5,1,8,0,0,0,0,7,104000
9591,8,5,2004,2005,1088,0,625,1713,0,0,1,0,2,0,3,1,7,1,3,856,0,1,274900
8546,4,5,2003,2004,0,0,1121,1121,0,0,0,0,2,0,2,1,5,0,2,440,132,3,140000
10125,6,6,1977,1977,641,279,276,1279,0,0,0,1,2,0,3,1,6,2,2,473,238,2,171500
7000,6,6,1924,1950,617,0,0,865,445,0,0,0,2,0,2,1,6,0,1,398,0,5,112000
4438,6,5,2004,2004,662,0,186,848,0,0,1,0,1,0,1,1,3,1,2,420,149,1,149000
3500,5,7,1947,1950,312,0,408,720,564,0,0,0,1,1,2,1,5,0,1,240,0,4,110000
11851,7,5,1990,1990,0,0,1424,1442,0,0,0,0,2,0,3,1,5,0,2,500,0,5,180500
13673,5,5,1962,1962,0,0,1140,1696,0,0,0,0,1,1,3,1,8,1,1,349,0,3,143900
12493,4,5,1960,1960,419,306,375,1100,0,0,1,0,1,0,3,1,6,1,1,312,355,4,141000
14364,7,5,1988,1989,1065,0,92,1180,882,0,1,0,2,1,3,1,7,1,2,454,60,4,277000
8250,6,7,1964,1964,787,0,305,1092,0,0,1,0,1,0,3,1,6,0,2,504,0,7,145000
5604,5,6,1925,1950,468,0,396,864,0,0,1,0,1,0,2,1,5,0,0,0,0,4,98000
10420,6,5,2009,2009,36,0,1176,1212,0,0,0,0,2,0,3,1,6,0,2,460,100,3,186000
8640,7,5,2009,2009,822,0,78,932,920,0,1,0,2,1,3,1,7,1,2,644,168,7,252678
13568,5,5,1995,1995,716,0,274,990,0,0,0,1,1,0,3,1,5,0,2,576,224,7,156000
10900,6,7,1977,1977,378,0,311,689,703,0,0,0,1,1,3,1,6,0,1,299,0,3,161750
10011,5,6,1957,1996,360,0,710,1236,0,0,0,1,1,0,2,1,6,1,1,447,0,5,134450
8450,7,5,2004,2004,946,0,490,1436,0,0,1,0,2,0,3,1,8,0,2,484,139,4,210000
9906,4,4,1925,1950,0,0,686,810,518,0,0,0,1,0,3,1,8,0,1,210,0,9,107000
15660,7,9,1939,2006,341,0,457,1137,817,0,0,1,1,1,3,1,8,2,2,431,0,5,311500
3010,7,5,2005,2006,16,0,1232,1248,0,0,0,0,2,0,2,1,5,0,2,438,108,3,167240
8990,7,5,2006,2006,0,0,1498,1498,0,0,0,0,2,0,2,1,5,0,2,675,351,4,204900
8068,6,5,2002,2002,0,0,1010,1010,1257,0,0,0,2,1,4,1,8,1,2,390,120,12,2e+05
11475,6,6,1975,1975,550,0,163,811,741,0,1,0,2,1,3,1,6,1,2,434,209,2,179900
10500,4,6,1971,1971,524,180,160,864,0,0,0,0,1,0,2,1,4,0,2,576,216,3,97000
13472,10,5,2003,2003,56,0,2336,2392,0,0,0,0,2,0,3,1,8,1,3,968,248,6,386250
1680,5,5,1971,1971,0,0,630,630,672,0,0,0,2,1,3,1,6,0,1,280,0,5,112000
9950,7,5,1995,1995,565,0,638,1214,1306,0,0,0,2,1,4,1,9,1,3,721,224,6,290000
1869,6,6,1970,1970,321,0,162,483,504,0,0,0,1,1,2,1,5,0,1,280,0,9,106000
8521,5,5,1967,1967,842,0,70,912,0,0,0,0,1,0,3,1,5,1,1,336,0,5,125000
3182,7,5,2005,2006,16,0,1357,1555,0,0,0,0,2,0,2,1,7,1,2,430,143,5,192500
8760,6,6,1959,1959,0,0,1194,1194,0,0,1,0,1,0,3,1,6,0,1,312,0,4,148000
15138,8,5,1995,1996,689,0,773,1490,1304,0,1,0,2,1,4,1,9,1,3,810,0,7,403000
1680,6,5,1972,1972,0,0,483,483,504,0,0,0,1,1,2,1,5,1,1,288,0,6,94500
10650,5,6,1976,1976,182,712,0,894,0,0,1,0,1,0,3,1,5,0,1,308,365,2,128200
7851,6,5,2002,2002,625,0,235,860,1100,0,1,0,2,1,4,1,8,2,2,440,288,5,216500
1680,6,3,1971,1971,358,0,125,483,504,0,0,0,1,1,2,1,5,0,1,264,0,8,89500
8773,7,5,2004,2004,24,0,1390,1414,0,0,0,0,2,0,3,1,6,0,2,494,132,5,185500
9453,7,7,1993,2003,402,0,594,1014,730,0,0,0,2,1,3,1,7,0,2,457,370,2,194500
12030,8,5,2007,2007,0,0,1694,1694,0,0,0,0,2,0,3,1,7,0,3,818,168,12,318000
8741,6,4,1945,1950,94,0,641,798,689,0,0,0,1,1,3,1,7,1,1,220,0,4,113000
9000,8,5,2008,2008,1078,0,488,1566,0,0,1,0,2,0,3,1,7,0,2,750,144,4,262500
3880,5,9,1945,1997,329,0,357,866,0,0,0,0,1,0,2,1,4,0,0,0,58,8,110500
5000,5,4,1900,1950,0,0,540,889,551,0,0,0,1,0,3,1,6,0,1,352,0,4,79000
10762,6,6,1980,1980,0,0,626,626,591,0,0,0,1,1,3,1,6,1,1,288,0,4,120000
8880,7,5,1994,2002,695,0,253,1222,888,0,1,0,2,1,3,1,8,2,2,463,0,5,205000
10400,7,5,1988,1988,929,0,916,1872,0,0,0,1,2,0,3,1,6,1,2,604,197,6,241500
9142,6,8,1910,1950,0,0,1020,908,1020,0,0,0,2,0,4,2,9,0,1,440,0,4,137000
11310,6,5,1954,1954,0,0,1367,1375,0,0,0,0,1,0,2,1,5,1,2,451,0,6,140000
11317,7,5,2003,2003,0,0,840,840,828,0,0,0,2,1,3,1,8,0,2,500,144,9,180000
159000,6,7,1958,2006,697,0,747,1444,700,0,0,1,2,0,4,1,7,2,2,389,0,6,277000
5350,3,2,1940,1966,0,0,728,1306,0,0,0,0,1,0,3,1,6,0,0,0,263,5,76500
4750,8,5,2006,2007,1573,0,0,1625,0,0,1,1,2,0,2,1,5,1,2,538,123,12,235000
8366,6,5,2004,2004,0,0,798,798,842,0,0,0,2,1,3,1,6,0,2,520,138,12,173000
9350,6,7,1964,1991,270,580,452,1302,0,0,0,1,2,0,3,1,7,0,1,309,333,10,158000
8400,5,6,1957,1957,922,0,392,1314,0,0,1,0,1,0,3,1,5,0,1,294,250,6,145000
8738,7,5,1999,1999,0,0,975,1005,1286,0,0,0,2,1,4,1,8,1,2,429,192,2,230000
